timesteps,reward
142904,-186.94999999999985
142936,-179.6499999999998
142960,-24.799999999999976
143328,-249.24999999999997
143384,-185.45000000000016
143392,-105.9500000000001
143624,-51.000000000000014
144024,-62.49999999999998
144176,-23.999999999999996
144272,-160.70000000000007
144840,-259.4499999999994
144896,-225.69999999999948
144920,-55.85
144984,-95.65000000000026
145264,-210.1999999999998
145296,-74.30000000000007
145472,-137.00000000000014
145960,-253.14999999999978
146216,-70.05000000000001
146440,-122.5500000000003
146584,-88.70000000000014
146832,-170.54999999999987
146864,-105.85000000000029
146896,-170.14999999999984
147000,-39.6
147368,-22.349999999999994
147408,-223.49999999999986
147888,-39.50000000000001
147896,-200.19999999999985
148128,-77.65000000000003
148296,-98.55000000000013
148376,-194.14999999999924
148432,-66.00000000000007
148832,-287.3499999999995
148912,-42.750000000000014
149160,-29.099999999999984
149304,-217.29999999999913
149616,-24.299999999999997
149728,-69.85000000000002
149832,-158.10000000000014
150064,-238.34999999999974
150232,-197.25000000000009
150328,-55.90000000000002
150456,-84.75000000000016
150512,-193.79999999999998
150856,-38.24999999999999
151024,-71.20000000000002
151112,-26.199999999999992
151256,-76.30000000000005
151536,-68.5
151552,-166.29999999999995
151664,-121.70000000000023
151808,-23.449999999999985
151880,-87.75000000000006
152056,-137.10000000000008
152136,-48.29999999999999
152280,-56.99999999999998
153128,-123.4500000000001
153136,-92.35000000000024
153304,-34.29999999999997
153408,-127.35000000000011
153480,-151.74999999999966
153488,-114.55000000000021
153656,-202.1500000000001
154072,-197.14999999999978
154088,-28.749999999999982
154424,-85.45000000000007
154432,-51.29999999999999
154512,-74.65000000000005
154736,-186.39999999999995
154776,-40.849999999999945
154952,-67.85000000000001
155096,-38.19999999999996
155584,-10.149999999999988
155688,-117.40000000000023
155808,-73.3
156160,-4.449999999999989
156336,-160.95000000000007
156360,-228.6499999999993
156368,-174.09999999999988
156472,-43.150000000000006
156592,-56.750000000000036
156712,-187.39999999999992
156944,-22.849999999999984
157032,-230.35000000000002
157360,-61.90000000000001
157768,-83.00000000000014
157816,-37.34999999999998
157888,-69.50000000000004
158096,-175.84999999999977
158304,-250.1999999999998
158648,-187.05000000000004
158880,-206.34999999999985
158960,-70.60000000000004
159120,-52.949999999999996
159368,-115.40000000000015
159600,-57.70000000000006
159744,-28.34999999999998
159752,-258.39999999999964
160032,-212.4999999999994
160248,-105.80000000000027
160400,-88.4500000000001
160480,-172.55000000000015
160664,-64.00000000000003
160832,7.1000000000000085
161056,-33.649999999999956
161200,-117.50000000000024
161272,-42.44999999999998
161680,-196.79999999999984
161688,-84.44999999999996
161688,-224.34999999999968
162080,-131.45000000000013
162080,-34.349999999999966
162432,-132.55000000000015
162472,-53.600000000000016
162496,-59.25000000000001
162600,-11.699999999999967
163104,-49.05000000000002
163208,-197.5000000000001
163288,-115.95000000000013
163520,-57.20000000000003
163768,-65.30000000000004
163888,-40.54999999999996
163896,-98.90000000000003
164016,-173.0499999999998
164368,-128.8500000000002
164544,-47.25000000000002
164584,-73.10000000000007
164672,-23.249999999999975
164680,-45.94999999999998
165064,-92.90000000000012
165144,-174.10000000000016
165152,-24.14999999999998
165312,-99.60000000000011
165456,-31.699999999999974
165568,-51.05000000000003
165968,-51.85000000000006
165976,-59.650000000000034
166088,-36.09999999999998
166480,-44.34999999999998
166520,-254.04999999999987
166592,-55.4
166608,-94.80000000000025
166744,-112.20000000000014
166752,-21.549999999999986
166872,-27.94999999999998
166880,16.849999999999998
167160,-5.200000000000003
167304,-38.25
167440,20.75
167664,-30.24999999999998
167768,-65.35000000000005
167776,-45.1
167896,-36.899999999999984
167912,-133.85000000000002
168008,-7.9999999999999964
168192,-121.35000000000026
168696,-22.500000000000014
169096,-114.40000000000012
169264,-122.55000000000018
169376,-138.90000000000003
169568,-106.50000000000014
169704,-249.59999999999954
169720,-70.8
169792,-142.80000000000018
169832,-146.05
